Time,Crack Length,Force,Temperature
42881.0,1.674954282537854,1700.0,473.0
42882.0,1.6750082300611822,1700.0,473.0
42883.0,1.6750621782036095,1700.0,473.0
42884.0,1.6751161269651358,1700.0,473.0
42885.0,1.6751700763457609,1700.0,473.0
42886.0,1.6752240263454854,1700.0,473.0
42887.0,1.675277976964308,1700.0,473.0
42888.0,1.6753319282022303,1700.0,473.0
42889.0,1.6753858800592514,1700.0,473.0
42890.0,1.6754398325353717,1700.0,473.0
42891.0,1.6754937856305907,1700.0,473.0
42892.0,1.6755477393449092,1700.0,473.0
42893.0,1.6756016936783262,1700.0,473.0
42894.0,1.6756556486308425,1700.0,473.0
42895.0,1.6757096042024577,1700.0,473.0
42896.0,1.6757635603931715,1700.0,473.0
42897.0,1.6758175172029852,1700.0,473.0
42898.0,1.675871474631897,1700.0,473.0
42899.0,1.6759254326799082,1700.0,473.0
42900.0,1.6759793913470182,1700.0,473.0
42901.0,1.6760333506332277,1700.0,473.0
42902.0,1.6760873105385357,1700.0,473.0
42903.0,1.6761412710629426,1700.0,473.0
42904.0,1.676195232206449,1700.0,473.0
42905.0,1.676249193969054,1700.0,473.0
42906.0,1.676303156350758,1700.0,473.0
42907.0,1.6763571193515612,1700.0,473.0
42908.0,1.6764110829714634,1700.0,473.0
42909.0,1.6764650472104643,1700.0,473.0
42910.0,1.6765190120685645,1700.0,473.0
42911.0,1.6765729775457632,1700.0,473.0
42912.0,1.6766269436420616,1700.0,473.0
42913.0,1.6766809103574585,1700.0,473.0
42914.0,1.6767348776919546,1700.0,473.0
42915.0,1.6767888456455498,1700.0,473.0
42916.0,1.6768428142182437,1700.0,473.0
42917.0,1.676896783410037,1700.0,473.0
42918.0,1.6769507532209285,1700.0,473.0
42919.0,1.6770047236509198,1700.0,473.0
42920.0,1.6770586947000101,1700.0,473.0
42921.0,1.6771126663681988,1700.0,473.0
42922.0,1.6771666386554869,1700.0,473.0
42923.0,1.6772206115618737,1700.0,473.0
42924.0,1.6772745850873598,1700.0,473.0
42925.0,1.677328559231945,1700.0,473.0
42926.0,1.6773825339956288,1700.0,473.0
42927.0,1.6774365093784116,1700.0,473.0
42928.0,1.6774904853802939,1700.0,473.0
42929.0,1.6775444620012747,1700.0,473.0
42930.0,1.6775984392413545,1700.0,473.0
42931.0,1.6776524171005334,1700.0,473.0
42932.0,1.6777063955788112,1700.0,473.0
42933.0,1.6777603746761884,1700.0,473.0
42934.0,1.6778143543926642,1700.0,473.0
42935.0,1.677868334728239,1700.0,473.0
42936.0,1.677922315682913,1700.0,473.0
42937.0,1.6779762972566856,1700.0,473.0
42938.0,1.6780302794495574,1700.0,473.0
42939.0,1.6780842622615286,1700.0,473.0
42940.0,1.6781382456925984,1700.0,473.0
42941.0,1.6781922297427672,1700.0,473.0
42942.0,1.678246214412035,1700.0,473.0
42943.0,1.6783001997004017,1700.0,473.0
42944.0,1.6783541856078674,1700.0,473.0
42945.0,1.6784081721344326,1700.0,473.0
